LAMMPS data file via write_data, version 2 Aug 2023, timestep = 1000708, units = metal

17268 atoms
5 atom types

-19.943203015591063 19.943203015591063 xlo xhi
-59.63574099876357 59.63574099876357 ylo yhi
-39.601836297024924 39.601836297024924 zlo zhi

Masses

1 32.065
2 28.085
3 6.941
4 1
5 1

Pair Coeffs # buck/coul/long

1 110000 0.284 1000
2 2.07988e+06 0.072 0
3 7.02015e+06 0.08 0
4 0 1 0
5 0 1 0

Atoms # charge

2 1 -1.2 -12.606471009762945 -55.91123422938255 -37.280649303395876 0 0 0
3 1 -1.2 -16.37526971382649 -54.76124955341805 -32.607947685765716 0 0 0
4 1 -1.2 -12.894468747726185 -56.05524551746468 -33.734408987506946 0 0 0
5 1 -1.2 -18.19804297529386 -54.13367582487883 -35.67750332790425 0 0 0
7 1 -1.2 -14.679679335057692 -53.6366408989782 -35.766356015261685 0 0 0
9 1 -1.2 -15.59765549964756 -56.834419593472006 -35.73764400223942 0 0 0
10 1 -1.2 -17.984347709193546 -57.89324551927866 -31.238793672451212 0 0 0
12 1 -1.2 -14.096991804916973 -56.81208239541414 -30.42482489826677 0 0 0
14 1 -1.2 -18.641584485184094 -56.682171902336755 -38.11947090073843 0 0 0
15 1 -1.2 -18.736520995436063 -57.92283844823088 -34.55443389712778 0 0 0
21 1 -1.2 -16.058898695568093 -54.603013807025555 -38.78311608121396 0 0 0
24 1 -1.2 -19.51242746637978 -53.745377101521875 -32.503116001553735 0 0 0
9783 2 2.4 -13.965337743052375 -55.49476574746421 -35.6413779364952 0 0 0
9784 2 2.4 -12.430662624647358 -56.35776311233082 -31.638986841766492 0 0 0
9785 2 2.4 -17.743560535182063 -53.45704731298877 -33.61537132077777 0 0 0
9787 2 2.4 -16.82354656535206 -58.579757662266545 -35.477612483613534 0 0 0
9788 2 2.4 -19.397523263849113 -54.973051861059076 -37.22298453697092 0 0 0
9790 2 2.4 -15.311161907072806 -52.89852064358619 -37.88165925146854 0 0 0
9792 2 2.4 -19.570667848896758 -58.11029517635801 -32.554896190150494 0 0 0
13809 3 0.6 -15.996905753963341 -57.137467047690876 -32.59619614109935 0 0 0
13813 3 0.6 -17.7318218525424 -55.547515637310774 -30.70983768487963 0 0 0
13816 3 0.6 -19.357643371850326 -52.87691170198565 -30.066818340048034 0 0 0
9791 2 2.4 -12.053279175911188 -56.68936996045238 -39.150007656490956 0 0 0
23 1 -1.2 -19.719028228572164 -53.35289598273941 -38.634360244587214 0 0 0
13817 3 0.6 -16.45064332792829 -57.03645691298939 -39.36335921232508 0 0 0
25 1 -1.2 -15.893088853186958 -59.58714311320179 -33.8680443074333 0 0 0
52 1 -1.2 -13.548570005340874 -52.35593344492537 -38.816588069473404 0 0 0
13851 3 0.6 -16.684645023291957 -59.09862828527505 -29.7322713208102 0 0 0
26 1 -1.2 -12.610363979347735 -59.542589238882826 -36.52233782920957 0 0 0
157 1 -1.2 -16.74850331895178 -59.611616279905654 -37.289784314534465 0 0 0
13814 3 0.6 -11.858994320389657 -58.353436892473724 -34.65723198819705 0 0 0
13812 3 0.6 -11.526491371421264 -52.9063389767028 -32.71902646542562 0 0 0
13 1 -1.2 -11.713904988330732 -54.47776640088681 -30.80145253043758 0 0 0
1 1 -1.2 -11.204630952164099 -52.92192786152183 -35.35030662158384 0 0 0
19 1 -1.2 -10.645421557169483 -57.42553109840703 -31.486113103146728 0 0 0
27 1 -1.2 -9.373881317138215 -58.2407914080278 -34.54503830496944 0 0 0
30 1 -1.2 -9.073769094257552 -54.199109482748476 -38.79476577438739 0 0 0
31 1 -1.2 -5.306675468331325 -58.3319182257034 -34.78272610929725 0 0 0
33 1 -1.2 -8.509372965639022 -55.10829588642013 -33.13172020101136 0 0 0
37 1 -1.2 -5.765211129252463 -53.892299306434786 -38.58070450412776 0 0 0
39 1 -1.2 -7.052378447658787 -57.68880805707542 -31.556645181738087 0 0 0
41 1 -1.2 -7.427231315577059 -56.739655112765625 -37.07233667150919 0 0 0
43 1 -1.2 -5.2154918799304335 -55.01918370596179 -35.18372867874216 0 0 0
184 1 -1.2 -10.336583125561868 -57.698370561368 -39.14530477336271 0 0 0
9795 2 2.4 -5.604411022987601 -56.844111581533866 -36.20203004457679 0 0 0
9798 2 2.4 -8.80444872093709 -57.24325112757313 -32.84770693356965 0 0 0
13815 3 0.6 -11.447287497461309 -53.49167551192875 -38.19748402314141 0 0 0
13818 3 0.6 -9.736797012330419 -57.150943759007276 -36.8025813332261 0 0 0
13820 3 0.6 -9.145942250898052 -53.917960861170265 -36.206995383305774 0 0 0
13821 3 0.6 -6.689839620136622 -54.29239597646489 -30.993427795235753 0 0 0
13822 3 0.6 -6.917888526497582 -53.56224934025983 -34.07742955814769 0 0 0
13825 3 0.6 -4.890966706994748 -57.069269539485894 -32.74788479226666 0 0 0
13827 3 0.6 -8.15272523245108 -58.67225380828786 -38.73956280677122 0 0 0
42 1 -1.2 -4.263688942609246 -55.42692208630897 -30.836269633896396 0 0 0
34 1 -1.2 -9.280463150039521 -52.33278175003474 -30.69661829952159 0 0 0
38 1 -1.2 -4.1219115278402505 -57.09076858855731 -37.81646147779462 0 0 0
13823 3 0.6 -8.676771898222453 -52.18942892396392 -33.41330106844513 0 0 0
13824 3 0.6 -3.9660725636079466 -54.4088281400648 -33.2235728207669 0 0 0
5320 1 -1.2 -1.3683662060919162 -58.13805047218543 -39.39478141415806 0 0 1
14112 3 0.6 2.3392033445322684 -58.72520107784046 -34.4969463325644 0 0 0
